Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,4.593750,4.593750,4.593750,4.593750,1.369072,3998720000
2000-01-04,4.335937,4.335937,4.335937,4.335937,1.292236,3098880000
2000-01-05,4.394531,4.394531,4.394531,4.394531,1.309699,6645760000
2000-01-06,4.359375,4.359375,4.359375,4.359375,1.299221,3303680000
2000-01-07,4.394531,4.394531,4.394531,4.394531,1.309699,2506240000
2000-01-10,4.523437,4.523437,4.523437,4.523437,1.348117,2247680000
2000-01-11,4.371093,4.371093,4.371093,4.371093,1.302714,1834240000
2000-01-12,4.218750,4.218750,4.218750,4.218750,1.257311,3682560000
2000-01-13,4.218750,4.218750,4.218750,4.218750,1.257311,1482240000
2000-01-14,4.253906,4.253906,4.253906,4.253906,1.267789,1480960000
2000-01-17,4.218750,4.218750,4.218750,4.218750,1.257311,744960000
2000-01-18,4.218750,4.218750,4.218750,4.218750,1.257311,942080000
2000-01-19,4.183593,4.183593,4.183593,4.183593,1.246834,2808320000
2000-01-20,4.042968,4.042968,4.042968,4.042968,1.204923,2941440000
2000-01-21,3.925781,3.925781,3.925781,3.925781,1.169998,2664960000
2000-01-24,3.949218,3.949218,3.949218,3.949218,1.176983,1530880000
2000-01-25,3.949218,3.949218,3.949218,3.949218,1.176983,0
2000-01-26,3.914062,3.914062,3.914062,3.914062,1.166505,4638720000
2000-01-27,3.961056,3.961056,3.961056,3.961056,1.180511,3141120000
2000-01-28,3.914062,3.914062,3.914062,3.914062,1.166505,1509120000
2000-01-31,3.984375,3.984375,3.984375,3.984375,1.187461,1182720000
2000-02-01,4.101562,4.101562,4.101562,4.101562,1.222386,1694720000
2000-02-02,4.189453,4.189453,4.189453,4.189453,1.248580,2019840000
2000-02-03,4.429687,4.429687,4.429687,4.429687,1.320177,4190720000
2000-02-04,4.558593,4.558593,4.558593,4.558593,1.358594,2465280000
2000-02-07,4.541016,4.541016,4.541016,4.541016,1.353356,2449920000
2000-02-08,4.687500,4.687500,4.687500,4.687500,1.397012,7100160000
2000-02-09,4.570312,4.570312,4.570312,4.570312,1.362087,1679360000
2000-02-10,4.453125,4.453125,4.453125,4.453125,1.327162,3900160000
2000-02-11,4.289062,4.289062,4.289062,4.289062,1.278267,4267520000
2000-02-14,4.335937,4.335937,4.335937,4.335937,1.292236,226560000
2000-02-15,4.582031,4.582031,4.582031,4.582031,1.365580,4633600000
2000-02-16,4.757812,4.757812,4.757812,4.757812,1.417968,8747520000
2000-02-17,4.605351,4.605351,4.605351,4.605351,1.372530,1715200000
2000-02-18,4.570312,4.570312,4.570312,4.570312,1.362087,2078720000
2000-02-21,4.605468,4.605468,4.605468,4.605468,1.372565,1254400000
2000-02-22,4.558593,4.558593,4.558593,4.558593,1.358594,4994560000
2000-02-23,4.712343,4.712343,4.712343,4.712343,1.404417,5461760000
2000-02-24,4.933712,4.933712,4.933712,4.933712,1.470391,9756160000
2000-02-25,5.050781,5.050781,5.050781,5.050781,1.505281,4839680000
2000-02-28,5.050781,5.050781,5.050781,5.050781,1.505281,3790080000
2000-02-29,5.027343,5.027343,5.027343,5.027343,1.498296,1628160000
2000-03-01,5.068477,5.068477,5.068477,5.068477,1.510555,2238720000
2000-03-02,5.062500,5.062500,5.062500,5.062500,1.508773,2679040000
2000-03-03,5.156250,5.156250,5.156250,5.156250,1.536714,1624320000
2000-03-06,5.156250,5.156250,5.156250,5.156250,1.536714,0
2000-03-07,5.156250,5.156250,5.156250,5.156250,1.536714,0
