"Date","Price","Open","High","Low","Vol.","Change %"
"10/04/2024","13.28","13.26","13.45","13.17","36.59M","-0.90%"
"10/03/2024","13.40","13.55","13.63","13.40","44.99M","-2.33%"
"10/02/2024","13.72","13.70","13.85","13.61","51.03M","0.88%"
"10/01/2024","13.60","13.20","13.72","13.13","65.79M","3.98%"
"09/30/2024","13.08","12.94","13.17","12.90","31.05M","1.24%"
"09/27/2024","12.92","12.80","12.99","12.79","24.96M","0.62%"
"09/26/2024","12.84","12.76","12.87","12.72","16.24M","1.26%"
"09/25/2024","12.68","12.78","12.98","12.68","33.51M","-0.63%"
"09/24/2024","12.76","12.79","12.90","12.69","22.55M","0.08%"
"09/23/2024","12.75","12.70","12.86","12.65","19.97M","-0.08%"
"09/20/2024","12.76","12.96","13.00","12.73","41.37M","-1.47%"
"09/19/2024","12.95","13.00","13.11","12.89","44.68M","-0.23%"
"09/18/2024","12.98","12.86","13.14","12.85","26.88M","0.15%"
"09/17/2024","12.96","12.79","12.99","12.79","26.03M","0.78%"
"09/16/2024","12.86","12.76","12.87","12.75","20.75M","1.02%"
"09/13/2024","12.73","12.95","13.00","12.72","21.94M","-1.39%"
"09/12/2024","12.91","12.96","12.99","12.76","34.49M","-1.00%"
"09/11/2024","13.04","13.30","13.30","13.02","21.25M","-1.51%"
"09/10/2024","13.24","13.01","13.32","13.01","27.64M","0.99%"
"09/09/2024","13.11","12.99","13.21","12.97","35.08M","0.92%"
"09/06/2024","12.99","12.92","13.07","12.91","20.97M","0.15%"
"09/05/2024","12.97","12.94","13.02","12.92","14.56M","-0.15%"
"09/04/2024","12.99","12.84","13.05","12.82","22.84M","1.48%"
"09/03/2024","12.80","12.91","12.95","12.78","19.03M","-0.54%"
"09/02/2024","12.87","12.81","12.89","12.70","12.62M","0.08%"
"08/30/2024","12.86","12.77","12.87","12.75","50.84M","0.00%"
"08/29/2024","12.86","12.93","12.98","12.79","17.85M","-0.69%"
"08/28/2024","12.95","13.04","13.07","12.81","21.17M","-0.61%"
"08/27/2024","13.03","13.02","13.12","12.95","22.24M","-0.38%"
"08/26/2024","13.08","13.11","13.22","13.01","20.44M","0.00%"
"08/23/2024","13.08","13.06","13.21","13.05","33.06M","0.62%"
"08/22/2024","13.00","12.95","13.03","12.91","25.69M","0.46%"
"08/21/2024","12.94","12.92","13.04","12.84","24.15M","0.00%"
"08/20/2024","12.94","12.99","13.04","12.87","16.40M","-0.54%"
"08/19/2024","13.01","13.04","13.10","12.96","28.99M","0.00%"
