"Date","Price","Open","High","Low","Vol.","Change %"
"10/04/2024","13.29","13.19","13.42","13.10","5.32M","0.30%"
"10/03/2024","13.25","13.28","13.42","13.14","5.28M","-0.97%"
"10/02/2024","13.38","13.30","13.54","13.27","8.59M","3.22%"
"10/01/2024","12.96","13.04","13.11","12.84","7.16M","0.54%"
"09/30/2024","12.89","13.05","13.08","12.87","5.90M","-1.13%"
"09/27/2024","13.04","12.96","13.23","12.91","8.43M","0.61%"
"09/26/2024","12.96","12.77","12.97","12.77","7.96M","1.96%"
"09/25/2024","12.71","12.70","12.86","12.69","6.05M","-1.22%"
"09/24/2024","12.87","13.01","13.08","12.82","7.76M","-0.46%"
"09/23/2024","12.93","13.23","13.24","12.89","11.28M","-2.42%"
"09/20/2024","13.25","13.48","13.53","13.20","7.28M","-1.71%"
"09/19/2024","13.48","13.65","13.71","13.48","4.07M","-1.03%"
"09/18/2024","13.62","13.70","13.83","13.62","3.64M","-1.16%"
"09/17/2024","13.78","13.83","13.83","13.66","3.31M","-0.72%"
"09/16/2024","13.88","13.95","14.01","13.77","2.93M","-0.50%"
"09/13/2024","13.95","13.94","14.14","13.87","3.93M","0.07%"
"09/12/2024","13.94","14.00","14.00","13.76","3.95M","-0.64%"
"09/11/2024","14.03","14.16","14.23","13.99","5.42M","-1.54%"
"09/10/2024","14.25","14.11","14.27","14.03","6.11M","0.28%"
"09/09/2024","14.21","14.15","14.24","14.08","3.44M","0.28%"
"09/06/2024","14.17","14.36","14.43","14.10","3.21M","-1.46%"
"09/05/2024","14.38","14.29","14.48","14.26","3.44M","0.63%"
"09/04/2024","14.29","14.25","14.50","14.21","5.21M","0.56%"
"09/03/2024","14.21","14.04","14.24","14.01","5.14M","1.48%"
"09/02/2024","14.00","14.01","14.07","13.95","2.88M","-0.85%"
"08/30/2024","14.12","13.96","14.13","13.96","10.67M","0.28%"
"08/29/2024","14.08","14.01","14.13","13.96","4.72M","-0.49%"
"08/28/2024","14.15","13.91","14.18","13.75","4.62M","1.29%"
"08/27/2024","13.97","14.06","14.08","13.89","4.99M","-0.99%"
"08/26/2024","14.11","14.16","14.16","14.03","4.10M","-0.49%"
"08/23/2024","14.18","14.01","14.31","14.00","7.45M","1.21%"
"08/22/2024","14.01","14.00","14.03","13.92","5.30M","-0.07%"
"08/21/2024","14.02","14.06","14.12","13.91","5.21M","-0.14%"
"08/20/2024","14.04","14.06","14.16","13.87","10.53M","-0.21%"
"08/19/2024","14.07","13.45","14.15","13.45","18.66M","5.62%"
"08/16/2024","13.32","13.63","13.70","13.24","7.57M","-1.62%"
"08/15/2024","13.54","13.38","13.60","13.36","4.17M","1.27%"
"08/14/2024","13.37","13.27","13.52","13.25","7.55M","0.60%"
"08/13/2024","13.29","13.18","13.38","13.14","5.75M","1.14%"
"08/12/2024","13.14","13.04","13.17","13.03","4.43M","1.00%"
"08/09/2024","13.01","12.85","13.10","12.75","6.34M","1.96%"
"08/08/2024","12.76","12.70","12.85","12.61","6.21M","0.95%"
"08/07/2024","12.64","12.77","13.02","12.50","8.62M","-0.24%"
"08/06/2024","12.67","12.39","12.76","12.32","18.40M","3.42%"
"08/05/2024","12.25","11.30","12.34","11.30","28.29M","8.30%"
"08/02/2024","11.32","11.34","11.46","11.26","6.20M","0.00%"
"08/01/2024","11.32","11.23","11.45","11.20","7.48M","1.07%"
"07/31/2024","11.20","11.21","11.24","11.15","5.02M","-0.09%"
"07/30/2024","11.21","11.31","11.31","11.17","3.21M","-0.79%"
"07/29/2024","11.30","11.30","11.34","11.20","4.75M","0.00%"
