"Date","Price","Open","High","Low","Vol.","Change %"
"10/04/2024","10.63","10.57","10.68","10.55","114.10K","0.76%"
"10/03/2024","10.55","10.91","10.91","10.55","294.10K","-3.21%"
"10/02/2024","10.90","10.90","11.05","10.90","162.60K","0.46%"
"10/01/2024","10.85","11.07","11.07","10.79","432.30K","-2.08%"
"09/30/2024","11.08","11.12","11.16","11.00","122.70K","-0.63%"
"09/27/2024","11.15","11.12","11.18","10.96","130.30K","0.18%"
"09/26/2024","11.13","10.96","11.14","10.92","102.90K","1.55%"
"09/25/2024","10.96","10.87","10.96","10.85","82.40K","1.11%"
"09/24/2024","10.84","10.84","10.99","10.83","65.90K","0.18%"
"09/23/2024","10.82","10.87","10.92","10.79","203.20K","-0.82%"
"09/20/2024","10.91","11.06","11.10","10.91","222.20K","-2.24%"
"09/19/2024","11.16","11.15","11.25","11.09","125.10K","0.63%"
"09/18/2024","11.09","11.15","11.18","11.04","104.40K","-0.54%"
"09/17/2024","11.15","11.20","11.20","11.10","37.00K","-0.18%"
"09/16/2024","11.17","11.15","11.21","11.15","83.00K","0.00%"
"09/13/2024","11.17","11.25","11.28","11.11","106.80K","-0.36%"
"09/12/2024","11.21","11.25","11.25","11.12","75.00K","0.00%"
"09/11/2024","11.21","11.26","11.28","11.13","149.90K","-0.27%"
"09/10/2024","11.24","11.19","11.25","11.12","91.20K","0.45%"
"09/09/2024","11.19","11.17","11.26","11.12","90.00K","0.09%"
"09/06/2024","11.18","11.22","11.24","11.11","58.00K","0.18%"
"09/05/2024","11.16","11.18","11.20","11.10","99.50K","-0.98%"
"09/04/2024","11.27","11.05","11.28","11.05","102.00K","1.81%"
"09/03/2024","11.07","10.90","11.07","10.86","135.30K","1.47%"
"09/02/2024","10.91","10.97","10.99","10.88","102.00K","0.12%"
"08/30/2024","10.90","11.00","11.00","10.84","100.70K","-0.91%"
"08/29/2024","11.00","11.12","11.14","11.00","95.30K","-1.25%"
"08/28/2024","11.14","10.92","11.15","10.86","115.10K","2.01%"
"08/27/2024","10.92","10.98","10.98","10.87","40.20K","-0.36%"
"08/26/2024","10.96","10.94","11.00","10.88","42.00K","0.18%"
"08/23/2024","10.94","10.94","11.06","10.92","270.60K","0.37%"
"08/22/2024","10.90","11.00","11.00","10.83","74.10K","-0.91%"
"08/21/2024","11.00","11.07","11.07","10.90","156.80K","-0.54%"
"08/20/2024","11.06","11.07","11.08","10.98","236.60K","0.00%"
