"Date","Price","Open","High","Low","Vol.","Change %"
"10/04/2024","30.46","30.39","30.60","30.27","310.50K","0.20%"
"10/03/2024","30.40","31.01","31.02","30.30","386.90K","-2.22%"
"10/02/2024","31.09","30.90","31.43","30.90","343.80K","0.65%"
"10/01/2024","30.89","31.41","31.49","30.77","467.50K","-1.66%"
"09/30/2024","31.41","31.86","32.01","31.41","428.40K","-1.50%"
"09/27/2024","31.89","31.69","31.89","31.66","537.00K","0.13%"
"09/26/2024","31.85","31.51","31.92","31.51","432.10K","1.40%"
"09/25/2024","31.41","31.10","31.44","31.10","560.60K","0.94%"
"09/24/2024","31.12","31.45","31.63","30.91","590.10K","-0.29%"
"09/23/2024","31.21","31.17","31.21","30.88","694.10K","-0.16%"
"09/20/2024","31.26","31.55","31.88","31.13","922.30K","-1.57%"
"09/19/2024","31.76","32.13","32.15","31.70","786.10K","-0.72%"
"09/18/2024","31.99","32.20","32.25","31.87","474.00K","-0.34%"
"09/17/2024","32.10","32.50","32.50","31.92","636.10K","-0.96%"
"09/16/2024","32.41","32.34","32.55","32.27","532.10K","0.22%"
"09/13/2024","32.34","32.33","32.57","31.94","918.90K","0.03%"
"09/12/2024","32.33","32.45","32.49","32.05","429.50K","-0.31%"
"09/11/2024","32.43","32.60","32.65","32.38","350.60K","-0.22%"
"09/10/2024","32.50","32.43","32.61","32.23","372.70K","0.18%"
"09/09/2024","32.44","32.52","32.62","32.31","680.30K","0.22%"
"09/06/2024","32.37","32.80","32.85","32.18","438.60K","-0.86%"
"09/05/2024","32.65","32.31","32.76","32.12","614.80K","0.65%"
"09/04/2024","32.44","32.14","32.80","32.14","665.80K","0.78%"
"09/03/2024","32.19","31.67","32.19","31.67","1.03M","1.64%"
"09/02/2024","31.67","31.80","31.86","31.61","602.60K","-0.38%"
"08/30/2024","31.79","32.10","32.15","31.56","968.50K","-1.15%"
"08/29/2024","32.16","32.13","32.31","32.05","412.70K","-0.25%"
"08/28/2024","32.24","31.48","32.25","31.30","340.70K","2.35%"
"08/27/2024","31.50","31.57","31.62","31.38","347.30K","-0.22%"
"08/26/2024","31.57","31.76","31.76","31.43","409.10K","-0.06%"
"08/23/2024","31.59","31.69","31.93","31.53","319.80K","-0.53%"
