"Date","Price","Open","High","Low","Vol.","Change %"
"10/04/2024","54.50","54.36","54.98","54.26","4.82M","-0.18%"
"10/03/2024","54.60","54.76","55.00","53.95","4.47M","-1.36%"
"10/02/2024","55.35","56.13","56.37","55.14","5.12M","-0.95%"
"10/01/2024","55.88","55.00","56.22","54.80","8.03M","2.74%"
"09/30/2024","54.39","55.63","56.24","54.39","6.41M","-2.81%"
"09/27/2024","55.96","55.88","56.02","55.44","6.44M","-0.04%"
"09/26/2024","55.98","55.73","56.07","55.14","5.61M","0.66%"
"09/25/2024","55.61","55.48","55.79","54.98","6.65M","0.52%"
"09/24/2024","55.32","54.43","55.71","54.40","8.88M","1.97%"
"09/23/2024","54.25","52.34","54.25","52.32","4.85M","3.43%"
"09/20/2024","52.45","52.94","53.50","52.45","11.74M","-1.39%"
"09/19/2024","53.19","53.23","53.43","52.75","4.84M","-0.19%"
"09/18/2024","53.29","53.13","54.20","52.88","6.97M","0.08%"
"09/17/2024","53.25","52.93","53.41","52.69","4.24M","0.60%"
"09/16/2024","52.93","53.55","53.85","52.58","2.72M","-1.16%"
"09/13/2024","53.55","53.19","54.08","52.91","2.95M","0.58%"
"09/12/2024","53.24","53.28","54.21","52.57","6.48M","-0.36%"
"09/11/2024","53.43","52.54","53.74","52.54","6.06M","1.15%"
"09/10/2024","52.82","52.28","52.82","51.89","5.64M","0.84%"
"09/09/2024","52.38","52.78","52.96","52.00","4.80M","-0.81%"
"09/06/2024","52.81","53.72","53.84","52.65","4.77M","-2.06%"
"09/05/2024","53.92","52.95","54.03","52.79","3.81M","1.12%"
"09/04/2024","53.32","52.86","53.54","52.46","4.68M","1.12%"
"09/03/2024","52.73","52.31","53.04","52.13","4.76M","0.86%"
"09/02/2024","52.28","54.42","54.52","52.10","5.04M","-3.32%"
"08/30/2024","54.08","53.16","54.08","52.89","17.13M","1.14%"
"08/29/2024","53.47","53.68","53.95","53.28","6.43M","-0.85%"
"08/28/2024","53.93","53.94","54.50","53.62","3.55M","0.00%"
"08/27/2024","53.93","54.01","54.25","53.33","3.85M","-0.15%"
"08/26/2024","54.01","53.74","54.13","53.09","4.81M","0.50%"
"08/23/2024","53.74","54.43","54.68","53.70","4.68M","-0.72%"
"08/22/2024","54.13","53.38","54.71","53.38","6.93M","1.44%"
"08/21/2024","53.36","52.98","53.53","52.60","4.51M","0.60%"
"08/20/2024","53.04","52.21","53.35","51.86","6.14M","2.55%"
"08/19/2024","51.73","53.60","53.93","51.73","11.17M","-2.74%"
"08/16/2024","53.18","52.91","53.91","52.33","9.55M","1.04%"
"08/15/2024","52.63","51.91","53.01","51.82","6.95M","2.25%"
"08/14/2024","51.48","51.10","51.75","50.84","7.55M","0.80%"
"08/13/2024","51.07","50.92","52.22","50.76","10.20M","1.09%"
"08/12/2024","50.52","50.01","50.71","49.73","8.12M","1.77%"
"08/09/2024","49.64","49.71","50.04","48.63","7.69M","0.02%"
"08/08/2024","49.63","48.24","50.09","48.19","6.13M","2.84%"
"08/07/2024","48.26","49.06","49.08","48.11","4.74M","-1.33%"
"08/06/2024","48.91","49.25","49.25","48.26","5.32M","0.23%"
"08/05/2024","48.80","47.94","49.37","47.51","10.88M","-1.56%"
"08/02/2024","49.57","52.39","52.58","49.42","15.37M","-5.72%"
"08/01/2024","52.58","50.35","52.66","49.78","13.58M","4.30%"
"07/31/2024","50.41","46.98","50.63","46.90","21.85M","10.47%"
"07/30/2024","45.63","46.23","46.28","45.48","7.40M","-1.33%"
"07/29/2024","46.25","46.50","46.78","46.17","3.95M","-0.94%"
"07/26/2024","46.68","45.82","46.72","45.72","5.98M","2.11%"
"07/25/2024","45.72","46.11","46.26","45.44","5.99M","-1.50%"
"07/24/2024","46.42","46.71","46.90","46.18","3.90M","-0.85%"
"07/23/2024","46.81","46.57","47.13","46.57","4.92M","-0.25%"
"07/22/2024","46.93","47.05","47.22","46.71","3.70M","-0.25%"
"07/19/2024","47.05","47.46","47.68","46.89","4.19M","-0.23%"
"07/18/2024","47.16","46.74","47.16","46.32","7.31M","0.74%"
"07/17/2024","46.81","46.65","47.12","46.32","5.57M","0.79%"
"07/16/2024","46.45","46.34","46.97","46.16","8.66M","0.37%"
"07/15/2024","46.28","45.66","46.40","45.54","4.64M","1.37%"
"07/12/2024","45.65","44.73","46.23","44.72","8.06M","2.05%"
"07/11/2024","44.73","43.68","44.73","43.68","5.48M","2.07%"
"07/10/2024","43.83","44.33","44.62","43.70","4.99M","-1.12%"
"07/09/2024","44.33","43.87","44.38","43.83","5.60M","0.18%"
"07/08/2024","44.25","41.98","44.25","41.97","11.56M","5.40%"
"07/05/2024","41.98","41.81","42.22","41.76","3.95M","0.72%"
"07/04/2024","41.68","42.09","42.10","41.55","3.85M","-0.52%"
"07/03/2024","41.90","42.11","42.37","41.79","4.87M","0.19%"
"07/02/2024","41.82","41.81","42.18","41.74","5.46M","0.14%"
"07/01/2024","41.76","41.64","42.25","41.57","3.98M","-0.37%"
"06/28/2024","41.92","41.43","41.92","41.08","11.17M","1.18%"
"06/27/2024","41.43","41.73","42.07","41.11","8.00M","-0.60%"
"06/26/2024","41.68","41.02","41.87","40.86","9.40M","0.91%"
"06/25/2024","41.30","40.58","41.45","40.44","7.22M","1.71%"
"06/24/2024","40.60","40.54","41.02","40.37","8.64M","-0.51%"
"06/21/2024","40.81","40.46","41.14","40.21","12.45M","0.74%"
"06/20/2024","40.52","39.61","40.52","39.61","10.15M","2.44%"
"06/19/2024","39.55","39.04","39.56","38.77","7.72M","2.44%"
"06/18/2024","38.61","38.52","38.83","38.17","4.18M","0.23%"
"06/17/2024","38.52","38.35","39.02","38.15","6.59M","0.00%"
"06/14/2024","38.52","37.99","39.04","37.99","11.80M","0.91%"
"06/13/2024","38.17","37.90","38.22","37.72","5.05M","0.92%"
"06/12/2024","37.82","37.56","37.92","36.86","12.70M","0.71%"
"06/11/2024","37.55","37.66","37.85","37.48","5.91M","-0.03%"
"06/10/2024","37.56","37.59","38.02","37.53","4.49M","-0.11%"
